,journal,issn-l,issn-e,categories,oa-id
2721,EJNMMI PHYSICS,2197-7364,2197-7364,"Radiology, Nuclear Medicine & Medical Imaging",S2737569433
2722,EJNMMI RESEARCH,2191-219X,2191-219X,"Radiology, Nuclear Medicine & Medical Imaging",S2764570898
2723,EJSO,0748-7983,1532-2157,Oncology | Surgery,S158473028
2724,EKSPLOATACJA I NIEZAWODNOSC-MAINTENANCE AND RELIABILITY,1507-2711,1507-2711,"Engineering, Multidisciplinary",S4210233445
2725,ELECTRICAL ENGINEERING,0948-7921,1432-0487,"Engineering, Electrical & Electronic",S111975091
2726,ELECTRICAL ENGINEERING IN JAPAN,0424-7760,1520-6416,"Engineering, Electrical & Electronic",S167620381
2727,ELECTRIC POWER COMPONENTS AND SYSTEMS,1532-5008,1532-5016,"Engineering, Electrical & Electronic",S37096616
2728,ELECTRIC POWER SYSTEMS RESEARCH,0378-7796,1873-2046,"Engineering, Electrical & Electronic",S151498627
2729,ELECTROANALYSIS,1040-0397,1521-4109,"Chemistry, Analytical | Electrochemistry",S79832926
2730,ELECTROCATALYSIS,1868-2529,1868-5994,"Chemistry, Physical | Electrochemistry",S65231264
2731,ELECTROCHEMICAL ENERGY REVIEWS,2520-8489,2520-8136,Electrochemistry,S4210169386
2732,ELECTROCHEMISTRY,1344-3542,2186-2451,Electrochemistry,S191655311
2733,ELECTROCHEMISTRY COMMUNICATIONS,1388-2481,1873-1902,Electrochemistry,S1342386
2734,ELECTROCHIMICA ACTA,0013-4686,1873-3859,Electrochemistry,S198339081
2735,ELECTROMAGNETIC BIOLOGY AND MEDICINE,1536-8378,1536-8386,Biology | Biophysics,S87713832
2736,ELECTROMAGNETICS,0272-6343,1532-527X,"Engineering, Electrical & Electronic",S15274312
2737,ELECTRONIC COMMERCE RESEARCH AND APPLICATIONS,1567-4223,1873-7846,"Computer Science, Information Systems | Computer Science, Interdisciplinary Applications",S187709482
2738,ELECTRONIC COMMUNICATIONS IN PROBABILITY,,1083-589X,Statistics & Probability,
2739,ELECTRONIC JOURNAL OF BIOTECHNOLOGY,0717-3458,0717-3458,Biotechnology & Applied Microbiology,S167562393
2740,ELECTRONIC JOURNAL OF COMBINATORICS,,1077-8926,"Mathematics, Applied | Mathematics",
2741,ELECTRONIC JOURNAL OF DIFFERENTIAL EQUATIONS,1072-6691,1072-6691,"Mathematics, Applied | Mathematics",S2503630715
2742,ELECTRONIC JOURNAL OF LINEAR ALGEBRA,1537-9582,1081-3810,Mathematics,S121701187
2743,ELECTRONIC JOURNAL OF PROBABILITY,1083-6489,1083-6489,Statistics & Probability,S181633058
2744,ELECTRONIC JOURNAL OF QUALITATIVE THEORY OF DIFFERENTIAL EQUATIONS,1417-3875,1417-3875,"Mathematics, Applied | Mathematics",S52621960
2745,ELECTRONIC JOURNAL OF STATISTICS,1935-7524,1935-7524,Statistics & Probability,S997959834
2746,ELECTRONIC MATERIALS LETTERS,1738-8090,2093-6788,"Materials Science, Multidisciplinary",S177378842
2747,ELECTRONIC RESEARCH ARCHIVE,,2688-1594,Mathematics,
2748,ELECTRONICS,2079-9292,2079-9292,"Computer Science, Information Systems | Engineering, Electrical & Electronic | Physics, Applied",S4210202905
2749,ELECTRONICS AND COMMUNICATIONS IN JAPAN,1942-9533,1942-9541,"Engineering, Electrical & Electronic",S155686367
2750,ELECTRONICS LETTERS,0013-5194,1350-911X,"Engineering, Electrical & Electronic",S149016011
2751,ELECTRONIC TRANSACTIONS ON NUMERICAL ANALYSIS,1068-9613,1068-9613,"Mathematics, Applied",S66827569
2752,ELECTROPHORESIS,0173-0835,1522-2683,"Biochemical Research Methods | Chemistry, Analytical",S2849398
2753,ELEKTRONIKA IR ELEKTROTECHNIKA,1392-1215,1392-1215,"Engineering, Electrical & Electronic",S30479993
2754,ELEMENTA-SCIENCE OF THE ANTHROPOCENE,2325-1026,2325-1026,Environmental Sciences | Meteorology & Atmospheric Sciences,S4210174983
2755,ELEMENTS,1811-5209,1811-5217,Geochemistry & Geophysics | Mineralogy,S65722409
2756,ELIGHT,2097-1710,2662-8643,Optics,S4210205584
2757,EMBO JOURNAL,0261-4189,1460-2075,Biochemistry & Molecular Biology | Cell Biology,S127916151
2758,EMBO MOLECULAR MEDICINE,1757-4676,1757-4684,"Medicine, Research & Experimental",S163075119
2759,EMBO REPORTS,1469-221X,1469-3178,Biochemistry & Molecular Biology | Cell Biology,S57252141
2760,EMERGENCIAS,1137-6821,2386-5857,Emergency Medicine,S2480469109
2761,EMERGENCY MEDICINE AUSTRALASIA,,1742-6723,Emergency Medicine,
2762,EMERGENCY MEDICINE CLINICS OF NORTH AMERICA,0733-8627,1558-0539,Emergency Medicine,S157616481
2763,EMERGENCY MEDICINE INTERNATIONAL,2090-2840,2090-2859,Emergency Medicine,S32518312
2764,EMERGENCY MEDICINE JOURNAL,1472-0205,1472-0213,Emergency Medicine,S127305661
2765,EMERGING INFECTIOUS DISEASES,1080-6040,1080-6059,Immunology | Infectious Diseases,S189281586
2766,EMERGING MATERIALS RESEARCH,2046-0147,2046-0155,"Materials Science, Multidisciplinary",S2764492706
2767,EMERGING MICROBES & INFECTIONS,,2222-1751,Immunology | Infectious Diseases | Microbiology,
2768,EMIRATES JOURNAL OF FOOD AND AGRICULTURE,2079-052X,2079-0538,Agronomy | Food Science & Technology,S2764415477
2769,EMPIRICAL SOFTWARE ENGINEERING,1382-3256,1573-7616,"Computer Science, Software Engineering",S109852484
2770,EMU-AUSTRAL ORNITHOLOGY,0158-4197,1448-5540,Ornithology,S89053421
2771,ENCEPHALE-REVUE DE PSYCHIATRIE CLINIQUE BIOLOGIQUE ET THERAPEUTIQUE,0013-7006,2589-4935,Neurosciences | Psychiatry,S4210168811
2772,ENDANGERED SPECIES RESEARCH,1863-5407,1613-4796,Biodiversity Conservation,S116285706
2773,ENDEAVOUR,0160-9327,1873-1929,History & Philosophy Of Science | Multidisciplinary Sciences,S65315170
2774,ENDOCRINE,1355-008X,1559-0100,Endocrinology & Metabolism,S194842327
2775,ENDOCRINE CONNECTIONS,,2049-3614,Endocrinology & Metabolism,
2776,ENDOCRINE JOURNAL,0918-8959,1348-4540,Endocrinology & Metabolism,S191387813
2777,ENDOCRINE METABOLIC & IMMUNE DISORDERS-DRUG TARGETS,1871-5303,2212-3873,Endocrinology & Metabolism | Immunology | Pharmacology & Pharmacy,S4210179974
2778,ENDOCRINE PATHOLOGY,1046-3976,1559-0097,Endocrinology & Metabolism | Pathology,S53004546
2779,ENDOCRINE PRACTICE,1530-891X,1934-2403,Endocrinology & Metabolism,S165390330
2780,ENDOCRINE-RELATED CANCER,1351-0088,1479-6821,Oncology | Endocrinology & Metabolism,S193349529
2781,ENDOCRINE RESEARCH,0743-5800,1532-4206,Endocrinology & Metabolism,S9543412
2782,ENDOCRINE REVIEWS,0163-769X,1945-7189,Endocrinology & Metabolism,S13493133
2783,ENDOCRINOLOGIA DIABETES Y NUTRICION,2530-0180,2530-0180,Endocrinology & Metabolism | Nutrition & Dietetics,S4210198968
2784,ENDOCRINOLOGY,0013-7227,1945-7170,Endocrinology & Metabolism,S157527038
2785,ENDOCRINOLOGY AND METABOLISM,2093-596X,2093-5978,Endocrinology & Metabolism,S191829013
2786,ENDOCRINOLOGY AND METABOLISM CLINICS OF NORTH AMERICA,0889-8529,1558-4410,Endocrinology & Metabolism,S151814236
2787,ENDOKRYNOLOGIA POLSKA,0423-104X,2299-8306,Endocrinology & Metabolism,S81330323
2788,ENDOSCOPIC ULTRASOUND,2303-9027,2226-7190,Gastroenterology & Hepatology,S2764482045
2789,ENDOSCOPY,0013-726X,1438-8812,Gastroenterology & Hepatology | Surgery,S195182175
2790,ENERGIES,,1996-1073,Energy & Fuels,
2791,ENERGY,0360-5442,1873-6785,Thermodynamics | Energy & Fuels,S2497375143
2792,ENERGY AND BUILDINGS,0378-7788,1872-6178,"Construction & Building Technology | Energy & Fuels | Engineering, Civil",S6846437
2793,ENERGY CONVERSION AND MANAGEMENT,0196-8904,1879-2227,Thermodynamics | Energy & Fuels | Mechanics,S105637730
2794,ENERGY EFFICIENCY,1570-646X,1570-6478,Green & Sustainable Science & Technology | Energy & Fuels,S133853345
2795,ENERGY & ENVIRONMENTAL MATERIALS,,2575-0356,"Materials Science, Multidisciplinary",
2796,ENERGY & ENVIRONMENTAL SCIENCE,1754-5692,1754-5706,"Chemistry, Multidisciplinary | Energy & Fuels | Engineering, Chemical | Environmental Sciences",S117082959
2797,ENERGY EXPLORATION & EXPLOITATION,0144-5987,2048-4054,Energy & Fuels,S73050191
2798,ENERGY FOR SUSTAINABLE DEVELOPMENT,0973-0826,2352-4669,Green & Sustainable Science & Technology | Energy & Fuels,S186823356
2799,ENERGY & FUELS,0887-0624,1520-5029,"Energy & Fuels | Engineering, Chemical",S186935893
2800,ENERGY JOURNAL,0195-6574,1944-9089,Energy & Fuels,S102805530
2801,ENERGY POLICY,0301-4215,1873-6777,Energy & Fuels | Environmental Sciences,S175056054
2802,ENERGY REPORTS,2352-4847,2352-4847,Energy & Fuels,S2898434319
2803,ENERGY SCIENCE & ENGINEERING,,2050-0505,Energy & Fuels,
2804,ENERGY SOURCES PART A-RECOVERY UTILIZATION AND ENVIRONMENTAL EFFECTS,1556-7036,1556-7230,"Energy & Fuels | Engineering, Chemical",S4210188153
2805,ENERGY SOURCES PART B-ECONOMICS PLANNING AND POLICY,1556-7249,1556-7257,Energy & Fuels,S165812035
2806,ENERGY STORAGE MATERIALS,2405-8297,2405-8289,"Chemistry, Physical | Nanoscience & Nanotechnology | Materials Science, Multidisciplinary",S2764728150
2807,ENERGY STRATEGY REVIEWS,2211-467X,2211-4688,Energy & Fuels,S2764911704
2808,ENERGY SUSTAINABILITY AND SOCIETY,2192-0567,2192-0567,Green & Sustainable Science & Technology | Energy & Fuels,S2736619039
2809,ENERGY TECHNOLOGY,2194-4288,2194-4296,Energy & Fuels,S2765059294
2810,ENEURO,,2373-2822,Neurosciences,
2811,ENFERMEDADES INFECCIOSAS Y MICROBIOLOGIA CLINICA,0213-005X,1578-1852,Infectious Diseases | Microbiology,S162752106
2812,ENGENHARIA AGRICOLA,0100-6916,1809-4430,Agricultural Engineering,S170413080
2813,ENGENHARIA SANITARIA E AMBIENTAL,1413-4152,1809-4457,Water Resources,S7056314
2814,ENGINEERING,2095-8099,2096-0026,"Engineering, Multidisciplinary",S4210192142
2815,ENGINEERING ANALYSIS WITH BOUNDARY ELEMENTS,0955-7997,1873-197X,"Engineering, Multidisciplinary | Mathematics, Interdisciplinary Applications",S5226199
2816,ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,0952-1976,1873-6769,"Automation & Control Systems | Computer Science, Artificial Intelligence | Engineering, Multidisciplinary | Engineering, Electrical & Electronic",S900972176
2817,ENGINEERING APPLICATIONS OF COMPUTATIONAL FLUID MECHANICS,1994-2060,1997-003X,"Engineering, Multidisciplinary | Engineering, Mechanical | Mechanics",S15260174
2818,ENGINEERING COMPUTATIONS,0264-4401,1758-7077,"Computer Science, Interdisciplinary Applications | Engineering, Multidisciplinary | Mathematics, Interdisciplinary Applications | Mechanics",S607880
2819,ENGINEERING CONSTRUCTION AND ARCHITECTURAL MANAGEMENT,0969-9988,1365-232X,"Engineering, Industrial | Engineering, Civil",S120049674
2820,ENGINEERING ECONOMIST,0013-791X,1547-2701,"Engineering, Industrial | Operations Research & Management Science",S51113653
2821,ENGINEERING FAILURE ANALYSIS,1350-6307,1873-1961,"Engineering, Mechanical | Materials Science, Characterization, Testing",S152303250
2822,ENGINEERING FRACTURE MECHANICS,0013-7944,1873-7315,Mechanics,S17983605
2823,ENGINEERING GEOLOGY,0013-7952,1872-6917,"Engineering, Geological | Geosciences, Multidisciplinary",S65957803
2824,ENGINEERING IN LIFE SCIENCES,1618-0240,1618-2863,Biotechnology & Applied Microbiology,S39716790
2825,ENGINEERING JOURNAL-AMERICAN INSTITUTE OF STEEL CONSTRUCTION,0013-8029,0013-8029,"Construction & Building Technology | Engineering, Civil",S4394906756
2826,ENGINEERING MANAGEMENT JOURNAL,1042-9247,2377-0643,"Engineering, Industrial",S4210230903
2827,ENGINEERING OPTIMIZATION,0305-215X,1029-0273,"Engineering, Multidisciplinary | Operations Research & Management Science",S139857051
2828,ENGINEERING SCIENCE AND TECHNOLOGY-AN INTERNATIONAL JOURNAL-JESTECH,2215-0986,2215-0986,"Engineering, Multidisciplinary",S2764510487
2829,ENGINEERING STRUCTURES,0141-0296,1873-7323,"Engineering, Civil",S165454098
2830,ENGINEERING STUDIES,1937-8629,1940-8374,"Education, Scientific Disciplines | Engineering, Multidisciplinary | History & Philosophy Of Science",S200914213
2831,ENGINEERING WITH COMPUTERS,0177-0667,1435-5663,"Computer Science, Interdisciplinary Applications | Engineering, Mechanical",S89333158
2832,ENT-EAR NOSE & THROAT JOURNAL,0145-5613,1942-7522,Otorhinolaryngology,S2755060417
2833,ENTERPRISE INFORMATION SYSTEMS,1751-7575,1751-7583,"Computer Science, Information Systems",S24861202
2834,ENTERTAINMENT COMPUTING,1875-9521,1875-953X,"Computer Science, Cybernetics | Computer Science, Interdisciplinary Applications | Computer Science, Software Engineering",S185496201
2835,ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA,0013-8703,1570-7458,Entomology,S26596028
2836,ENTOMOLOGIA GENERALIS,0171-8177,2363-7102,Entomology,S42867496
2837,ENTOMOLOGICA AMERICANA,1947-5136,1947-5144,Entomology,S30808908
2838,ENTOMOLOGICAL NEWS,0013-872X,2162-3236,Entomology,S123423509
2839,ENTOMOLOGICAL RESEARCH,1738-2297,1748-5967,Entomology,S106623195
2840,ENTOMOLOGICAL SCIENCE,1343-8786,1479-8298,Entomology,S167620011
2841,ENTROPY,,1099-4300,"Physics, Multidisciplinary",
2842,ENVIRONMENT,0013-9157,1939-9154,Environmental Sciences,S75298943
2843,ENVIRONMENTAL AND ECOLOGICAL STATISTICS,1352-8505,1573-3009,"Environmental Sciences | Mathematics, Interdisciplinary Applications | Statistics & Probability",S43170165
2844,ENVIRONMENTAL AND EXPERIMENTAL BOTANY,0098-8472,1873-7307,Plant Sciences | Environmental Sciences,S202986090
2845,ENVIRONMENTAL AND MOLECULAR MUTAGENESIS,0893-6692,1098-2280,Environmental Sciences | Genetics & Heredity | Toxicology,S204663187
2846,ENVIRONMENTAL ARCHAEOLOGY,1461-4103,1749-6314,"Geosciences, Multidisciplinary",S111084217
2847,ENVIRONMENTAL BIOLOGY OF FISHES,0378-1909,1573-5133,Ecology | Marine & Freshwater Biology,S175181960
2848,ENVIRONMENTAL CHEMISTRY,1448-2517,1449-8979,"Chemistry, Analytical | Environmental Sciences",S134678447
2849,ENVIRONMENTAL CHEMISTRY LETTERS,1610-3653,1610-3661,"Chemistry, Multidisciplinary | Engineering, Environmental | Environmental Sciences",S88719806
2850,ENVIRONMENTAL CONSERVATION,0376-8929,1469-4387,Biodiversity Conservation | Environmental Sciences,S122509743
2851,ENVIRONMENTAL DEVELOPMENT,2211-4645,2211-4653,Environmental Sciences,S2764564261
2852,ENVIRONMENTAL EARTH SCIENCES,1866-6280,1866-6299,"Environmental Sciences | Geosciences, Multidisciplinary | Water Resources",S198573919
2853,ENVIRONMENTAL ENGINEERING AND MANAGEMENT JOURNAL,1582-9596,1843-3707,Environmental Sciences,S169219760
2854,ENVIRONMENTAL & ENGINEERING GEOSCIENCE,1078-7275,1558-9161,"Engineering, Environmental | Engineering, Geological | Geosciences, Multidisciplinary",S29865586
2855,ENVIRONMENTAL ENGINEERING RESEARCH,1226-1025,2005-968X,"Engineering, Environmental | Environmental Sciences",S206216095
2856,ENVIRONMENTAL ENGINEERING SCIENCE,1092-8758,1557-9018,"Engineering, Environmental | Environmental Sciences",S1905899
2857,ENVIRONMENTAL ENTOMOLOGY,0046-225X,1938-2936,Entomology,S92562763
2858,ENVIRONMENTAL EVIDENCE,,2047-2382,Environmental Sciences,
2859,ENVIRONMENTAL FLUID MECHANICS,1567-7419,1573-1510,Environmental Sciences | Mechanics | Meteorology & Atmospheric Sciences | Oceanography | Water Resources,S56619941
2860,ENVIRONMENTAL FORENSICS,1527-5922,1527-5930,Environmental Sciences,S205647254
2861,ENVIRONMENTAL GEOCHEMISTRY AND HEALTH,0269-4042,1573-2983,"Engineering, Environmental | Environmental Sciences | Public, Environmental & Occupational Health | Water Resources",S191946630
2862,ENVIRONMENTAL GEOTECHNICS,,2051-803X,"Engineering, Geological",
2863,ENVIRONMENTAL HEALTH,,1476-069X,"Environmental Sciences | Public, Environmental & Occupational Health",
2864,ENVIRONMENTAL HEALTH AND PREVENTIVE MEDICINE,1342-078X,1347-4715,"Public, Environmental & Occupational Health",S110451752
2865,ENVIRONMENTAL HEALTH PERSPECTIVES,0091-6765,1552-9924,"Environmental Sciences | Public, Environmental & Occupational Health | Toxicology",S10446503
2866,ENVIRONMENTAL INNOVATION AND SOCIETAL TRANSITIONS,2210-4224,2210-4232,Environmental Sciences,S2764720322
2867,ENVIRONMENTAL MANAGEMENT,0364-152X,1432-1009,Environmental Sciences,S131852149
2868,ENVIRONMENTAL MICROBIOLOGY,1462-2912,1462-2920,Microbiology,S6919857
2869,ENVIRONMENTAL MICROBIOLOGY REPORTS,1758-2229,1758-2229,Environmental Sciences | Microbiology,S56987637
2870,ENVIRONMENTAL MICROBIOME,,2524-6372,Genetics & Heredity | Microbiology,
2871,ENVIRONMENTAL MODELING & ASSESSMENT,1420-2026,1573-2967,Environmental Sciences,S145020830
2872,ENVIRONMENTAL MODELLING & SOFTWARE,1364-8152,1873-6726,"Computer Science, Interdisciplinary Applications | Engineering, Environmental | Environmental Sciences | Water Resources",S113611870
2873,ENVIRONMENTAL MONITORING AND ASSESSMENT,0167-6369,1573-2959,Environmental Sciences,S11732831
2874,ENVIRONMENTAL POLLUTANTS AND BIOAVAILABILITY,2639-5932,2639-5940,Biochemistry & Molecular Biology | Environmental Sciences | Toxicology,S4210202135
2875,ENVIRONMENTAL POLLUTION,0269-7491,1873-6424,Environmental Sciences,S201530359
2876,ENVIRONMENTAL PROGRESS & SUSTAINABLE ENERGY,1944-7442,1944-7450,"Green & Sustainable Science & Technology | Engineering, Environmental | Engineering, Chemical | Environmental Sciences",S4210214890
2877,ENVIRONMENTAL RESEARCH,0013-9351,1096-0953,"Environmental Sciences | Public, Environmental & Occupational Health",S173943867
2878,ENVIRONMENTAL RESEARCH COMMUNICATIONS,2515-7620,2515-7620,Environmental Sciences,S4210220720
2879,ENVIRONMENTAL RESEARCH LETTERS,1748-9326,1748-9326,Environmental Sciences | Meteorology & Atmospheric Sciences,S139338987
2880,ENVIRONMENTAL REVIEWS,1208-6053,1181-8700,Environmental Sciences,S79420083
2881,ENVIRONMENTAL SCIENCE AND ECOTECHNOLOGY,2666-4984,2666-4984,Green & Sustainable Science & Technology | Environmental Sciences,S4210228708
2882,ENVIRONMENTAL SCIENCE-NANO,2051-8153,2051-8161,"Chemistry, Multidisciplinary | Environmental Sciences | Nanoscience & Nanotechnology",S2764968653
2883,ENVIRONMENTAL SCIENCE & POLICY,1462-9011,1873-6416,Environmental Sciences,S39803240
2884,ENVIRONMENTAL SCIENCE-PROCESSES & IMPACTS,2050-7887,2050-7895,"Chemistry, Analytical | Environmental Sciences",S6640965
2885,ENVIRONMENTAL SCIENCES EUROPE,2190-4707,2190-4715,Environmental Sciences,
2886,ENVIRONMENTAL SCIENCE & TECHNOLOGY,0013-936X,1520-5851,"Engineering, Environmental | Environmental Sciences",S13479253
2887,ENVIRONMENTAL SCIENCE & TECHNOLOGY LETTERS,2328-8930,2328-8930,"Engineering, Environmental | Environmental Sciences",S2764476807
2888,ENVIRONMENTAL SCIENCE-WATER RESEARCH & TECHNOLOGY,2053-1400,2053-1419,"Engineering, Environmental | Environmental Sciences | Water Resources",S4210190644
2889,ENVIRONMENTAL TECHNOLOGY,0959-3330,1479-487X,Environmental Sciences,S37011080
2890,ENVIRONMENTAL TECHNOLOGY & INNOVATION,2352-1864,2352-1864,"Biotechnology & Applied Microbiology | Engineering, Environmental | Environmental Sciences",S2764865870
2891,ENVIRONMENTAL TOXICOLOGY,1520-4081,1522-7278,Environmental Sciences | Toxicology | Water Resources,S172436580
2892,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,0730-7268,1552-8618,Environmental Sciences | Toxicology,S136710263
2893,ENVIRONMENTAL TOXICOLOGY AND PHARMACOLOGY,1382-6689,1872-7077,Environmental Sciences | Pharmacology & Pharmacy | Toxicology,S108944336
2894,ENVIRONMENT DEVELOPMENT AND SUSTAINABILITY,1387-585X,1573-2975,Green & Sustainable Science & Technology | Environmental Sciences,S155209994
2895,ENVIRONMENT INTERNATIONAL,0160-4120,1873-6750,Environmental Sciences,S143381477
2896,ENVIRONMENT PROTECTION ENGINEERING,0324-8828,2450-260X,"Engineering, Environmental",S144604268
2897,ENVIRONMETRICS,1180-4009,1099-095X,"Environmental Sciences | Mathematics, Interdisciplinary Applications | Statistics & Probability",S17114410
2898,ENZYME AND MICROBIAL TECHNOLOGY,0141-0229,1879-0909,Biotechnology & Applied Microbiology,S4210230422
2899,EPIDEMICS,1755-4365,1878-0067,Infectious Diseases,S24717195
2900,EPIDEMIOLOGIA & PREVENZIONE,1120-9763,2385-1937,"Public, Environmental & Occupational Health",S142278704
2901,EPIDEMIOLOGIC REVIEWS,0193-936X,1478-6729,"Public, Environmental & Occupational Health",S136459416
2902,EPIDEMIOLOGIE MIKROBIOLOGIE IMUNOLOGIE,1210-7913,,Microbiology,S1007805525
2903,EPIDEMIOLOGY,1044-3983,1531-5487,"Public, Environmental & Occupational Health",S15470582
2904,EPIDEMIOLOGY AND HEALTH,2092-7193,2092-7193,"Public, Environmental & Occupational Health",S149504884
2905,EPIDEMIOLOGY AND PSYCHIATRIC SCIENCES,2045-7960,2045-7979,Psychiatry,S2481255041
2906,EPIDEMIOLOGY & INFECTION,0950-2688,1469-4409,"Public, Environmental & Occupational Health | Infectious Diseases",S61175029
2907,EPIGENETICS,1559-2294,1559-2308,Biochemistry & Molecular Biology | Genetics & Heredity,S203437305
2908,EPIGENETICS & CHROMATIN,,1756-8935,Genetics & Heredity,
2909,EPIGENOMICS,1750-1911,1750-192X,Genetics & Heredity,S42283280
2910,EPILEPSIA,0013-9580,1528-1167,Clinical Neurology,S203153751
2911,EPILEPSIA OPEN,,2470-9239,Clinical Neurology | Neurosciences,
2912,EPILEPSY & BEHAVIOR,1525-5050,1525-5069,Behavioral Sciences | Clinical Neurology | Psychiatry,S109517664
2913,EPILEPSY CURRENTS,1535-7597,1535-7511,Clinical Neurology,S76379409
2914,EPILEPSY RESEARCH,0920-1211,1872-6844,Clinical Neurology,S144140688
2915,EPILEPTIC DISORDERS,1294-9361,1950-6945,Clinical Neurology,S82373125
2916,EPISODES,0705-3797,0705-3797,"Geosciences, Multidisciplinary",S182646890
2917,EPJ DATA SCIENCE,,2193-1127,"Mathematics, Interdisciplinary Applications",
2918,EPJ QUANTUM TECHNOLOGY,2662-4400,2196-0763,"Quantum Science & Technology | Optics | Physics, Atomic, Molecular & Chemical",S2737382968
2919,EPL,0295-5075,1286-4854,"Physics, Multidisciplinary",S161185981
2920,EPMA JOURNAL,1878-5077,1878-5085,"Medicine, Research & Experimental",S191919004
2921,E-POLYMERS,2197-4586,1618-7229,Polymer Science,S150382113
2922,EQUINE VETERINARY EDUCATION,0957-7734,2042-3292,Veterinary Sciences,S144802591
2923,EQUINE VETERINARY JOURNAL,0425-1644,2042-3306,Veterinary Sciences,S144352947
2924,ERDE,0013-9998,0013-9998,"Geography, Physical | Geosciences, Multidisciplinary",S4393911617
2925,ERDKUNDE,0014-0015,0014-0015,"Geography, Physical",S24945758
2926,ERGODIC THEORY AND DYNAMICAL SYSTEMS,0143-3857,1469-4417,"Mathematics, Applied | Mathematics",S14709335
2927,ERGONOMICS,0014-0139,1366-5847,"Engineering, Industrial | Psychology",S72159247
2928,ERJ OPEN RESEARCH,,2312-0541,Respiratory System,
2929,ERNAHRUNGS UMSCHAU,0174-0008,0174-0008,Nutrition & Dietetics,S4394735583
2930,ESAIM-CONTROL OPTIMISATION AND CALCULUS OF VARIATIONS,1292-8119,1262-3377,"Automation & Control Systems | Mathematics, Applied",S142457147
2931,ESAIM-MATHEMATICAL MODELLING AND NUMERICAL ANALYSIS,2822-7840,2804-7214,"Mathematics, Applied",S4220651181
2932,ESAIM-PROBABILITY AND STATISTICS,1292-8100,1262-3318,Statistics & Probability,S70412728
2933,ESC HEART FAILURE,2055-5822,2055-5822,Cardiac & Cardiovascular System,S2764810254
2934,ESCIENCE,2097-2431,2667-1417,"Electrochemistry | Materials Science, Multidisciplinary",
2935,ESMO OPEN,,2059-7029,Oncology,
2936,ESOPHAGUS,1612-9059,1612-9067,Gastroenterology & Hepatology,S112874639
2937,ESSAYS IN BIOCHEMISTRY,0071-1365,1744-1358,Biochemistry & Molecular Biology,S30084617
2938,ESTONIAN JOURNAL OF EARTH SCIENCES,1736-4728,1736-7557,"Geosciences, Multidisciplinary",S71470748
2939,ESTUARIES AND COASTS,1559-2723,1559-2731,Environmental Sciences | Marine & Freshwater Biology,S109872917
2940,ESTUARINE COASTAL AND SHELF SCIENCE,0272-7714,1096-0015,Marine & Freshwater Biology | Oceanography,S43867544
2941,ESTUDIOS GEOLOGICOS-MADRID,0367-0449,1988-3250,Geology,S32706902
2942,ETHIK IN DER MEDIZIN,0935-7335,1437-1618,Medical Ethics,S159217112
2943,ETHIOPIAN JOURNAL OF HEALTH DEVELOPMENT,1021-6790,1021-6790,"Public, Environmental & Occupational Health",S67352463
2944,ETHNICITY & DISEASE,1049-510X,1945-0826,"Public, Environmental & Occupational Health",S114550841
2945,ETHNICITY & HEALTH,1355-7858,1465-3419,"Public, Environmental & Occupational Health",S109232058
2946,ETHOLOGY,0179-1613,1439-0310,Behavioral Sciences | Zoology,S147866836
2947,ETHOLOGY ECOLOGY & EVOLUTION,0394-9370,1828-7131,Behavioral Sciences | Zoology,S150560568
2948,ETRANSPORTATION,2590-1168,2590-1168,"Energy & Fuels | Engineering, Electrical & Electronic | Transportation Science & Technology",S4210225447
2949,ETRI JOURNAL,1225-6463,2233-7326,"Engineering, Electrical & Electronic | Telecommunications",S202469819
2950,EUPHYTICA,0014-2336,1573-5060,Agronomy | Plant Sciences | Horticulture,S149191589
2951,EURASIAN SOIL SCIENCE,1064-2293,1556-195X,Soil Science,S190853250
2952,EURASIP JOURNAL ON ADVANCES IN SIGNAL PROCESSING,1687-6180,1687-6180,"Engineering, Electrical & Electronic",S35920007
2953,EURASIP JOURNAL ON AUDIO SPEECH AND MUSIC PROCESSING,1687-4722,1687-4722,"Acoustics | Engineering, Electrical & Electronic",S19605986
2954,EURASIP JOURNAL ON IMAGE AND VIDEO PROCESSING,1687-5176,1687-5281,"Engineering, Electrical & Electronic | Imaging Science & Photographic Technology",S153767265
2955,EURASIP JOURNAL ON WIRELESS COMMUNICATIONS AND NETWORKING,1687-1472,1687-1499,"Engineering, Electrical & Electronic | Telecommunications",S82675988
2956,EUROINTERVENTION,1774-024X,1969-6213,Cardiac & Cardiovascular System,S104576203
2957,EUROPACE,1099-5129,1532-2092,Cardiac & Cardiovascular System,S46732370
2958,EUROPEAN ADDICTION RESEARCH,1022-6877,1421-9891,Substance Abuse | Psychiatry,S98083841
2959,EUROPEAN ANNALS OF OTORHINOLARYNGOLOGY-HEAD AND NECK DISEASES,1879-7296,1879-730X,Otorhinolaryngology,S6819782
2960,EUROPEAN ARCHIVES OF OTO-RHINO-LARYNGOLOGY,0937-4477,1434-4726,Otorhinolaryngology,S163740676
2961,EUROPEAN ARCHIVES OF PSYCHIATRY AND CLINICAL NEUROSCIENCE,0940-1334,1433-8491,Clinical Neurology | Psychiatry,S105662685
